,name,ensg,type
25937,TSPAN6,ENSG00000000003,protein_coding
25936,TNMD,ENSG00000000005,protein_coding
54434,DPM1,ENSG00000000419,protein_coding
3879,SCYL3,ENSG00000000457,protein_coding
3874,C1orf112,ENSG00000000460,protein_coding
920,FGR,ENSG00000000938,protein_coding
4285,CFH,ENSG00000000971,protein_coding
21077,FUCA2,ENSG00000001036,protein_coding
19946,GCLC,ENSG00000001084,protein_coding
19663,NFYA,ENSG00000001167,protein_coding
790,STPG1,ENSG00000001460,protein_coding
791,NIPAL3,ENSG00000001461,protein_coding
25516,LAS1L,ENSG00000001497,protein_coding
19819,ENPP4,ENSG00000001561,protein_coding
10539,SEMA3F,ENSG00000001617,protein_coding
23690,CFTR,ENSG00000001626,protein_coding
23174,ANKIB1,ENSG00000001629,protein_coding
23165,CYP51A1,ENSG00000001630,protein_coding
23170,KRIT1,ENSG00000001631,protein_coding
37508,RAD52,ENSG00000002016,protein_coding
33460,BAD,ENSG00000002330,protein_coding
13237,LAP3,ENSG00000002549,protein_coding
24592,CD99,ENSG00000002586,protein_coding
13162,HS3ST1,ENSG00000002587,protein_coding
24404,AOC1,ENSG00000002726,protein_coding
23719,WNT16,ENSG00000002745,protein_coding
22290,HECW1,ENSG00000002746,protein_coding
21603,MAD1L1,ENSG00000002822,protein_coding
50453,LASP1,ENSG00000002834,protein_coding
50957,SNX11,ENSG00000002919,protein_coding
24403,TMEM176A,ENSG00000002933,protein_coding
37800,M6PR,ENSG00000003056,protein_coding
26243,KLHL13,ENSG00000003096,protein_coding
6676,CYP26B1,ENSG00000003137,protein_coding
21744,ICA1,ENSG00000003147,protein_coding
48980,DBNDD1,ENSG00000003249,protein_coding
8846,ALS2,ENSG00000003393,protein_coding
8823,CASP10,ENSG00000003400,protein_coding
8817,CFLAR,ENSG00000003402,protein_coding
8631,TFPI,ENSG00000003436,protein_coding
6083,NDUFAF7,ENSG00000003509,protein_coding
10536,RBM5,ENSG00000003756,protein_coding
27389,MTMR7,ENSG00000003987,protein_coding
27391,SLC7A2,ENSG00000003989,protein_coding
23797,ARF5,ENSG00000004059,protein_coding
49990,SARM1,ENSG00000004139,protein_coding
49983,POLDIP2,ENSG00000004142,protein_coding
11655,PLXND1,ENSG00000004399,protein_coding
1100,AK2,ENSG00000004455,protein_coding
13212,CD38,ENSG00000004468,protein_coding
37548,FKBP4,ENSG00000004478,protein_coding
740,KDM1A,ENSG00000004487,protein_coding
10535,RBM6,ENSG00000004534,protein_coding
49153,CAMKK1,ENSG00000004660,protein_coding
38086,RECQL,ENSG00000004700,protein_coding
23193,VPS50,ENSG00000004766,protein_coding
56293,HSPB6,ENSG00000004776,protein_coding
56296,ARHGAP33,ENSG00000004777,protein_coding
47281,NDUFAB1,ENSG00000004779,protein_coding
23239,PDK4,ENSG00000004799,protein_coding
20597,SLC22A16,ENSG00000004809,protein_coding
10560,ZMYND10,ENSG00000004838,protein_coding
21873,ABCB5,ENSG00000004846,protein_coding
24868,ARX,ENSG00000004848,protein_coding
23242,SLC25A13,ENSG00000004864,protein_coding
23666,ST7,ENSG00000004866,protein_coding
50912,CDC27,ENSG00000004897,protein_coding
50790,SLC4A1,ENSG00000004939,protein_coding
23194,CALCR,ENSG00000004948,protein_coding
24678,HCCS,ENSG00000004961,protein_coding
49298,DVL2,ENSG00000004975,protein_coding
46702,PRSS22,ENSG00000005001,protein_coding
55799,UPF1,ENSG00000005007,protein_coding
21975,SKAP2,ENSG00000005020,protein_coding
26277,SLC25A5,ENSG00000005022,protein_coding
14420,MCUB,ENSG00000005059,protein_coding
22003,HOXA11,ENSG00000005073,protein_coding
23467,POLR2J,ENSG00000005075,protein_coding
49235,DHX33,ENSG00000005100,protein_coding
50755,MEOX1,ENSG00000005102,protein_coding
21774,THSD7A,ENSG00000005108,protein_coding
50274,LIG3,ENSG00000005156,protein_coding
38478,RPAP3,ENSG00000005175,protein_coding
47188,ACSM3,ENSG00000005187,protein_coding
47198,REXO5,ENSG00000005189,protein_coding
